archetype,scenario,parameter,direction,n_cities,mean_misting_hours_h,mean_water_use_L_per_module,mean_pv_energy_Wh,mean_load_energy_Wh,mean_autonomy_ratio,baseline_misting_hours_h,baseline_water_use_L_per_module,baseline_load_energy_Wh,baseline_autonomy_ratio,pct_change_misting_hours,pct_change_water_use,pct_change_load_energy,pct_change_autonomy
Temperate / Windy Coastal,Gmin_minus10pct,Gmin,-10%,13,158.15384615384616,5941.275887573964,91493.78760772242,14798.581176035503,19.888284419069766,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,0.24378352023403355,0.2271936423212535,0.2056118339060526,-0.012203761970303465
Temperate / Windy Coastal,Gmin_plus10pct,Gmin,+10%,13,157.07692307692307,5905.678402366864,91493.78760772242,14717.958210059172,19.89300329895553,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,-0.4388103364212676,-0.3733231676275433,-0.3403103418363841,0.011520275284371209
Temperate / Windy Coastal,PVarea_2m2,PV area design,2 m²,13,157.76923076923077,5927.808284023669,182987.57521544484,14768.215976331361,39.78142366839242,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,0.0,0.0,0.0,100.0
Temperate / Windy Coastal,PVarea_3m2,PV area design,3 m²,13,157.76923076923077,5927.808284023669,274481.36282316723,14768.215976331361,59.672135502588624,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,0.0,0.0,0.0,199.99999999999997
Temperate / Windy Coastal,PVarea_minus10pct,PV area,-10%,13,157.76923076923077,5927.808284023669,82344.40884695017,14768.215976331361,17.90164065077659,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,0.0,0.0,0.0,-10.000000000000004
Temperate / Windy Coastal,PVarea_plus10pct,PV area,+10%,13,157.76923076923077,5927.808284023669,100643.16636849467,14768.215976331361,21.879783017615832,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,0.0,0.0,0.0,10.000000000000004
Temperate / Windy Coastal,Pump_minus10pct,Pump power,-10%,13,157.76923076923077,5927.808284023669,91493.78760772242,13533.255917159764,20.646174060234777,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,0.0,0.0,-8.362283305924262,3.798065309758159
Temperate / Windy Coastal,Pump_plus10pct,Pump power,+10%,13,157.76923076923077,5927.808284023669,91493.78760772242,16003.176035502958,19.220220468894595,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,0.0,0.0,8.362283305924262,-3.370876672944921
Temperate / Windy Coastal,RHmax_minus10pct,RHmax,-10%,13,150.23076923076923,5525.743343195267,91493.78760772242,13885.349913708087,23.236897095055255,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,-4.778156996587036,-6.782691368613047,-5.978149723962737,16.82285324302103
Temperate / Windy Coastal,RHmax_plus10pct,RHmax,+10%,13,160.07692307692307,6143.167294244217,91493.78760772242,15230.726734803658,18.844676926792168,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,1.4627011214041834,3.633029273247126,3.1317984461599924,-5.258911375940271
Temperate / Windy Coastal,Tset_minus10pct,Tset,-10%,13,361.38461538461536,14736.267159763313,91493.78760772242,34340.86427514793,4.984002530068305,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,129.0589956118966,148.59554246178573,132.5322458053508,-74.94306603195677
Temperate / Windy Coastal,Tset_plus10pct,Tset,+10%,13,20.615384615384617,827.8247041420116,91493.78760772242,3320.327107988165,44.23951446838295,157.76923076923077,5927.808284023669,14768.215976331361,19.89071183419621,-86.93320331545587,-86.03489410456942,-77.51707373924131,122.41292738616905
Temperate Humid Transitional,Baseline,Baseline,baseline,23,62.82608695652174,2481.3328595317726,83936.34830656875,7018.399979096989,25.49328262293195,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,0.0,0.0,0.0,0.0
Temperate Humid Transitional,Flow_minus10pct,Water flow rate,-10%,23,62.82608695652174,2233.1995735785954,83936.34830656875,7018.399979096989,25.49328262293195,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,0.0,-9.999999999999996,0.0,0.0
Temperate Humid Transitional,Flow_plus10pct,Water flow rate,+10%,23,62.82608695652174,2729.4661454849497,83936.34830656875,7018.399979096989,25.49328262293195,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,0.0,9.999999999999996,0.0,0.0
Temperate Humid Transitional,Gmin_minus10pct,Gmin,-10%,23,63.21739130434783,2497.6321906354515,83936.34830656875,7054.704744983277,25.478165909513244,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,0.6228373702422131,0.6568780581398743,0.5172798072839244,-0.05929684945754422
Temperate Humid Transitional,Gmin_plus10pct,Gmin,+10%,23,62.47826086956522,2467.0866220735784,83936.34830656875,6986.633361204013,25.50192858162533,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,-0.5536332179930821,-0.574136492952519,-0.45261908679452284,0.03391465438664687
Temperate Humid Transitional,PVarea_2m2,PV area design,2 m²,23,62.82608695652174,2481.3328595317726,167872.6966131375,7018.399979096989,50.9865652458639,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,0.0,0.0,0.0,100.0
Temperate Humid Transitional,PVarea_3m2,PV area design,3 m²,23,62.82608695652174,2481.3328595317726,251809.04491970624,7018.399979096989,76.47984786879584,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,0.0,0.0,0.0,199.99999999999997
Temperate Humid Transitional,PVarea_minus10pct,PV area,-10%,23,62.82608695652174,2481.3328595317726,75542.71347591186,7018.399979096989,22.943954360638752,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,0.0,0.0,0.0,-10.000000000000012
Temperate Humid Transitional,PVarea_plus10pct,PV area,+10%,23,62.82608695652174,2481.3328595317726,92329.98313722563,7018.399979096989,28.042610885225145,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,0.0,0.0,0.0,9.999999999999996
Temperate Humid Transitional,Pump_minus10pct,Pump power,-10%,23,62.82608695652174,2481.3328595317726,83936.34830656875,6501.455633361204,26.151594967864234,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,0.0,0.0,-7.365558350555811,2.582297284619255
Temperate Humid Transitional,Pump_plus10pct,Pump power,+10%,23,62.82608695652174,2481.3328595317726,83936.34830656875,7535.344324832776,24.911301345339222,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,0.0,0.0,7.365558350555824,-2.282880891412623
Temperate Humid Transitional,RHmax_minus10pct,RHmax,-10%,23,61.30434782608695,2359.990802675585,83936.34830656875,6756.473592530658,26.090698811153185,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,-2.4221453287197323,-4.890196669506267,-3.7319957162092643,2.34342590186421
Temperate Humid Transitional,RHmax_plus10pct,RHmax,+10%,23,63.17391304347826,2554.718455457586,83936.34830656875,7173.373593797507,25.33876590626642,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,0.5536332179930707,2.957507117350687,2.208104627295084,-0.6061075733202651
Temperate Humid Transitional,Tset_minus10pct,Tset,-10%,23,218.69565217391303,8690.404264214047,83936.34830656875,20889.18279682274,9.19829875973799,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,248.09688581314873,250.2312972977727,197.63454432687394,-63.91873539477474
Temperate Humid Transitional,Tset_plus10pct,Tset,+10%,23,11.782608695652174,468.22299331103665,83936.34830656875,2518.160221571906,43.627316995362946,62.82608695652174,2481.3328595317726,7018.399979096989,25.49328262293195,-81.24567474048443,-81.13018205065038,-64.12059402325627,71.13259849917839
